Municipio,Codigo_Postal,Poblacion,Superficie,Densidad_población,Media_paro,Afiliados_SS,Tasa_paro,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
SAN JUAN DEL MONTE,9337,156,26.5,5.88,8.16,18,45.33,1.87,10,0,-5,20323.28
SAN MAMES DE BURGOS,9338,318,5.1,62.35,16.41,33,49.73,11.47,3,0,2,20323.28
SAN MARTIN DE RUBIALES,9339,151,19.4,7.78,8.41,12,70.08,0,4,0,0,20323.27
SAN MILLAN DE LARA,9340,69,33.62,2.05,1.16,10,11.6,8.56,0,0,-3,20323.28
SANTA CECILIA,9343,100,12.46,8.02,4.41,31,14.23,15.76,2,0,4,20323.28
SANTA CRUZ DE LA SALCEDA,9345,132,25.86,5.1,3.66,29,12.62,18.74,1,140,7,20324.22
SANTA CRUZ DEL VALLE URBION,9346,101,33.92,2.97,2.08,1,69.33,0,2,0,2,20323.27
SANTA GADEA DEL CID,9347,152,28.98,5.24,7.83,36,21.75,10.63,1,31,5,20323.49
SANTA INES,9348,147,14.87,9.88,10.91,7,99.18,0,2,0,1,20323.27
SANTA MARIA DEL CAMPO,9350,518,60.32,8.58,12.25,170,7.21,24.77,8,0,0,20323.28
SANTA MARIA DEL INVIERNO,9351,66,16.18,4.07,1.33,7,19,8.11,2,0,-2,20323.28
SANTA MARIA DEL MERCADILLO,9352,104,30.21,3.44,2.33,11,21.18,4.18,1,0,-4,20323.28
SANTA OLALLA DE BUREBA,9354,35,10.74,3.25,1.5,8,18.75,11.25,1,0,5,20323.28
SANTIBAÑEZ DE ESGUEVA,9355,85,22.25,3.82,1.16,9,12.89,11.51,1,0,0,20323.28
SANTIBAÑEZ DEL VAL,9356,54,14.96,3.6,0,1,0,20.6,1,0,3,20323.28
SANTO DOMINGO DE SILOS,9358,262,78.91,3.32,8.33,70,11.9,20.19,2,0,11,20323.28
SAN VICENTE DEL VALLE,9360,27,13.42,2.01,0.75,6,12.5,12.48,1,0,2,20323.28
SARGENTES DE LA LORA,9361,115,86.22,1.33,2.25,9,25,15.35,5,0,10,20323.28
SARRACIN,9362,257,9.61,26.74,12.41,91,13.64,27.78,5,0,8,20323.28
